Conceptual metaphor,Sentence,Source,Target,Type
MIND IS A MACHINE,Boy the wheels are turning now!,,,-
MIND IS A MACHINE,I'm a little rusty today.,,,-
MIND IS A MACHINE,We've been working on this problem all day and now we're running out of steam.,,,-
MIND IS A CONTAINER,It's all in your mind.,in,mind,DN
MIND IS A CONTAINER,Keep it in the back of your mind.,back,mind,DN
MIND IS A COMPUTER,She came to a calculated decision.,calculated,decision,AN
MIND IS A BODY,Do the exercises at the end of this chapter.,,,-
MEMORIZATION IS WRITING,Let me make a mental note of that.,note,mental,AN
MEMORIZATION IS WRITING,It's imprinted in my mind forever.,imprinted,mind,VN
MEANS ARE PATHS,Do it this way.,,,-
MEANS ARE PATHS,However you want to go about it is fine with me,,,-
MANNER OF ACTION IS MANNER OF MOVEMENT,We're skipping right along.,,,-
MANNER OF ACTION IS MANNER OF MOVEMENT,I'm walking on egg shells.,,,-
MANNER OF ACTION IS MANNER OF MOVEMENT,We slogged through it.,,,-
MAKING RELATED IS CAUSING CONTACT,It is unclear how the new law applies to this situation.,applies,law,VN
MAKING A DECISION IS WEIGHING,"Before we draw any conclusions, we must weigh both sides of the issue.",weigh,issue,VN
MACHINES ARE PEOPLE,The engine is dying; we need to repair it.,dying,engine,VN
LOW STATUS IS DOWN,He is low on the totem pole.,,,-
LOSING AN ELECTION IS LOSING A WAR,"It was a hard-fought battle, but in the end Romney didn't have the numbers to overpower Obama.",overpower,Obama,VN
LOSING AN ELECTION IS LOSING A WAR,"While at first the numbers were on his side, eventually Gore had to admit defeat to Bush in 2000.",defeat,Bush,VN
LOSING AN ELECTION IS LOSING A RACE,"While Perry appeared to be the frontrunner, Romney came out ahead in the GOP primary.",,,-
LOSING AN ELECTION IS LOSING A RACE,"In the presidential race of 2008, John McCain came up short.",race,presidential,AN
LOSING AN ELECTION IS LOSING A RACE,"During the Republican primary, several candidates jockeyed for the frontrunner position, but Huntsman quickly fell behind and bowed out.",,,-
LOSING AN ELECTION IS LOSING A BOXING MATCH,"During the Democratic primary in 2008, John Edwards came out swinging but was swiftly knocked out of the election.",knocked out,election,VN
LIFE IS A SEQUENCE OF MOTIONS,It's time to take the next big step in my life.,step,life,NN
LIFE IS A JOURNEY,She hasn't gone as far in life as her parents had hoped.,far,life,DN
LIFE IS A JOURNEY,His life has taken a good course.,course,life,NN
LIFE IS A JOURNEY,I go where my path leads me.,,,-
LIFE IS A JOURNEY,I go where my path leads me.,,,-
LIFE IS A JOURNEY,"As I've traveled through life, I've made a lot of friends along the way.",traveled,life,VN
LIFE IS A JOURNEY,"He has changed his direction in life, and taken a more spiritual path.",direction,life,NN
LESS IS SMALL,She has very little money.,little,money,AN
LESS IS SMALL,The number of available parking spaces continues to shrink.,shrink,number,VN
LESS IS DOWN,Her temperature is going down.,,,-
LEGISLATIVE ACTIVITY IS MAKING OBJECTS,"Congress is producing little this election year that will become law, yet both parties are churning out bills designed to make the other side look bad.",churning out,bills,VN
LEARNING IS ACQUIRING,This gives me a great idea!,give,idea,VN
LEARNING IS ACQUIRING,I got a much better idea of what was going on after the last meeting.,got,idea,VN
LEARNING IS ACQUIRING,"She had acquired an intimate knowledge of the terrain, which now helped her to travel quickly.",acquired,knowledge,VN
LEARNING IS ACQUIRING,Her experience gave her a great deal of knowledge.,gave,experience,VN
LEADING A NATION IS STEERING A BOAT,The president is steering the country into unknown waters.,steering,country,VN
LEADING A NATION IS DRIVING A VEHICLE,The president drove the nation into a ditch.,drove,nation,VN
LEADING A NATION IS DRIVING A VEHICLE,Obama on GOP: 'They Drove The Country Into A Ditch...Now They Want The Keys Back',drove,country,VN
LEADING A NATION IS DRIVING A VEHICLE,Where was he when he drove our country off a cliff?,drove,country,VN
LEADER OF A NATION IS HEAD OF BODY,"Obama is the head of the country, whether some people don't like democracy or not.",head,country,NN
LAWS ARE PLANTS,Out of these discussions will grow legislation of farreaching importance.,grow,legislation,VN
LAWS ARE PHYSICAL STRUCTURES,dismantle gun laws,dismantle,laws,VN
LAWS ARE OBJECTS,How to Build A Law,build,law,VN
LAW ENFORCEMENT IS SUPPORTING A STRUCTURE,"Aug 25, 2010 – And so, two of the main pillars of our democracy—a free press and the courts—will be assailed at the same time.",pillars,democracy,NN
KNOWING IS TOUCHING,"I've almost got an idea, but I can't quite put my finger on it.",put my finger,idea,VN
KNOWING IS TOUCHING,I could never put my finger on what the problem was. I felt crazy at times and there were so many times that I would approach him with a very well-thought out ...,,,
KNOWING IS SEEING,I see what you mean.,,,
KNOWING IS PERCEIVING,I see what you mean.,,,
KNOWING IS PERCEIVING,Something doesn't smell quite right here.,,,
KNOWING IS PERCEIVING,Listen to what your father tells you.,,,
KNOWING IS PERCEIVING,"I have no idea what my friends are doing, they've kept me completely in the dark.",,,
JUDGES ARE SPORTS REFEREES,"Feb 24, 2007 – A judge is often thought of in terms of a referree. But can a judge really be as objective as a sporting umpire?",,,
INTERRELATEDNESS IS PHYSICAL INTERCONNECTEDNESS,Emigration has threatened to unravel the fabric of this small society.,,,
INTERRELATEDNESS IS PHYSICAL INTERCONNECTEDNESS,The chairman has managed to weave together quite a coalition,,,
INTERNATIONAL RELATIONS ARE INTERPERSONAL RELATIONSHIPS,Which country is your country's best friend?,,,
INTERNATIONAL RELATIONS ARE INTERPERSONAL RELATIONSHIPS,,,,
INTERNATIONAL DISAGREEMENTS ARE QUARRELS,Japan's Spat With China Takes Big Toll on Tourism,,,
INTERNATIONAL DISAGREEMENTS ARE QUARRELS,,,,
INTERNATIONAL ASSOCIATION IS CONNECTION,France has close ties to former colony Tunisia,,,
INTERESTING IDEAS ARE APPETIZING FOODS,She's the kind of person you always need to sugar-coat it for to get her to do anything.,,,
INTEREST IN IDEAS IS APPETITE FOR FOOD,He has an appetite for learning.,,,
INTEREST IN IDEAS IS APPETITE FOR FOOD,He has an insatiable curiosity.,,,
INTENSITY OF ACTIVITY IS HEAT,Trading has really heated up this week.,,,
INSTITUTIONS ARE PEOPLE,"Their practices and policies have put them right in the cross hairs and it is only a matter of time before someone pulls the trigger. When that happens, one will be left to wonder whether it is a suicide, a homicide or a mercy killing.",,,
INSTITUTIONS ARE BUILDINGS,The Crumbling Walls of the Roman Catholic Church,,,
INSTITUTIONS ARE BUILDINGS,Institutional reform,,,
INSTITUTION IS AN ORGANISM,"May 27, 2011 – The “health” of an institution is measured by the effectiveness of its organization and mission, and also by how well it plans for the future.",,,
INSTITUTION IS AN ORGANISM,,,,
INSTITUTION IS A VEHICLE,I would venture to conclude from this that institutions are vehicles of subcultures driven by groups of people with a common destination,,,
INSTITUTION IS A MACHINE,"More especially, the analogy mentioned between institutions and machines must not be interpreted as proposing the theory that institutions are machines—in some essentialist sense.",,,
INSTITUTION IS A FACTORY,"Society’s great institutions are factories of ideas, regularly churning out new frameworks, insights, and understanding.",,,
INSTITUTION IS A FACTORY,"In this view, educational instititions are factories that take less productive workers as their raw materials, apply doses of training, and create more productive workers as outputs.",,,
INSTITUTION IS A BUSINESS,"Religious institutions are businesses, the sermons are infomercials, the verse are nothing but commercial slogans.",,,
INSTITUTION IS A BUSINESS,"Institutions Are Businesses, Too",,,
INHIBITTING ENACTMENT OF LEGISLATION IS IMPEDING MOTION,Senate Republicans blocked legislation Wednesday that would have established a  billion jobs program putting veterans back to work tending to the country's federal lands and bolstering local police and fire departments.,,,
INHIBITTING ENACTMENT OF LEGISLATION IS IMPEDING MOTION,This mini-controversy erupted when Republicans introduced a string of amendments in a final effort to obstruct passage of the reconciliation bill.,,,
INFORMATION IS CONTENTS,The detective couldn't get much information out of the partial shoe print.,,,
INFORMATION IS CONTENTS,Tree rings contain the story of the region.,,,
INFORMATION IS CONTENTS,It was years before the fossils yielded any valuable information.,,,
INFLUENTIAL NATIONS ARE LEADERS,Germany Leads the World,,,
INFLUENTIAL NATIONS ARE LEADERS,China leads successful wildlife crime crackdown,,,
INEQUALITY IS BEING ON DIFFERENT VERTICAL LEVELS,The upwardly mobile are moving into nicer neighborhoods.,,,
INEQUALITY IS BEING ON DIFFERENT VERTICAL LEVELS,Moving up the social ladder: The bottom rung vs the top rung,,,
INEFFICIENT GOVERNMENT IS A BLOATED BODY,"Tax Revolt: The Rebellion Against an Overbearing, Bloated, Arrogant, and Abusive Government",,,
INEFFICIENT GOVERNMENT IS A BLOATED BODY,Tom Barrett: Put state government on a diet,,,
INEFFICIENT GOVERNMENT IS A BLOATED BODY,,,,
INEFFECTIVE GOVERNMENT IS A POORLY-MANAGED BUSINESS,"The point, however, is that saying that government is inefficient because it does not turn a profit is the equivalent of saying that Peyton Manning is a poor quarterback because he doesn’t hit enough home runs. He’s not supposed to.",,,
INEFFECTIVE GOVERNMENT IS A POORLY-MANAGED BUSINESS,"The business of municipal government is, in general, the most poorly managed business in the world.",,,
INCREASING GOVERNMENT DEBT IS RISING WATER LEVEL,"Debt, debt, debt; we're drowning in it. This morning, the Office for National Statistics published the latest estimates of public sector borrowing. Though borrowing is falling faster than anticipated, thanks to the fact that spending cuts are finally beginning to kick in, the national debt has risen to 64.2 per cent of GDP. More significantly, we now owe more than £1 trillion, or around £16,000 for every person in the country.",,,
INCREASING EVALUABILITY OF GOVERNMENT IS INCREASING TRANSPARENCY,"Increasing transparency in government (title of article, International Journal on World Peace)",,,
INCREASING EVALUABILITY OF GOVERNMENT IS INCREASING TRANSPARENCY,,,,
INCREASING EVALUABILITY OF GOVERNMENT IS INCREASING LIGHT,"Stay up to date on Sunlight’s work in D.C., throughout the country and around the world, as well as the latest open government, transparency and technology news.",,,
INCREASE IN CRIME IS SPREAD OF DISEASE,"As It Opens to Outsiders, Cuba Is Infected by Crime",,,
INCITING GOVERNING ACTION IS FORCED MOVEMENT,"Bloomberg Goes to Washington to Push Gun Laws, but Senate Has Other Ideas",,,
INCITING GOVERNING ACTION IS FORCED MOVEMENT,Livingston County judge: Cuomo administration steamrolled lawmakers on gay marriage vote,,,
INABILITY TO EVALUATE GOVERNMENT IS INABILITY TO SEE,"The World Bank has issued its latest index of corruption and transparency. The world’s largest democracy, India, is looking a bit red-faced.",,,
IMPORTANT IS CENTRAL,The issue is central to these negotiations.,,,
IMPORTANCE IS WEIGHT,That's a lightweight issue.,,,
IMPORTANCE IS WEIGHT,This is a substantive / substantial problem for us.,,,
IMPORTANCE IS SIZE,A big part of this mission was not to contaminate the planet with Earth organisms.,,,
IMPORTANCE IS SIZE,Texaco is a relatively small player in the California gasoline market but a bigger factor in the Eastern states that want to follow California's lead.,,,
IMMORALITY IS DISEASE,'It’s sick and disgusting that a painting like this can go on show so soon after my daughter was murdered.,,,
IMMORALITY IS DISEASE,,,,
IMMORALITY IS DEGENERATION,The consequence of idolatry is the moral disintegration of human society.,,,
IMMORAL IS CROOKED,He's a crooked politician.,,,
ILLEGAL ACTIVITY IS BREAKING A PHYSICAL OBJECT,Shatter the rules of the market economy,,,
IDEAS ARE POSSESSIONS,I have an idea.,,,
IDEAS ARE POSSESSIONS,She gave me a good idea.,,,
IDEAS ARE POSSESSIONS,Keep your opinion to yourself!,,,
IDEAS ARE PEOPLE,The theory of relativity gave birth to an enormous number of ideas in physics.,,,
IDEAS ARE PEOPLE,He is the father of modern biology.,,,
IDEAS ARE PEOPLE,Whose brainchild was that?,,,
IDEAS ARE PEOPLE,Look at what his ideas have spawned.,,,
IDEAS ARE PEOPLE,Those ideas died off in the Middle Ages.,,,
IDEAS ARE PEOPLE,His ideas will live on forever.,,,
IDEAS ARE PEOPLE,Cognitive psychology is still in its infancy.,,,
IDEAS ARE PEOPLE,That's an idea that ought to be resurrected.,,,
IDEAS ARE PEOPLE,He breathed new life into that idea.,,,
IDEAS ARE OBJECTS,You'd need an electron microscope to find the point of this essay.,,,
IDEAS ARE FOOD,"This is what happens when science serves up facts more indigestible than evolution. We end up with a society where the masses live in outright ignorance and denial, while the dominant institutions, thanks to market and political expediency, continually reorganize themselves around actionable intelligence as it comes in.",,,
IDEAS ARE FOOD,Food for thought nust be appetizing. Chemistry students usually can write acceptable exposition if they know good writing is expected,,,
HIGH STATUS IS UP,He has a lofty position.,,,
HIGH STATUS IS UP,He'll rise to the top.,,,
HIGH STATUS IS UP,He's at the peak of his career.,,,
HIGH STATUS IS UP,He's climbing the ladder of success.,,,
HIGH STATUS IS UP,In that community there is little opportunity for upward mobility.,,,
HIGH STATUS IS UP,They are at the bottom of the social hierarchy.,,,
HIGH STATUS IS UP,She fell in status.,,,
HIERARCHY IS A VERTICAL STRUCTURE,He's gone over my head to the top supervisor.,,,
HELP IS PHYSICAL SUPPORT,Our work in the African continent [. . .] is supported by Tear Fund,,,
HELP IS PHYSICAL SUPPORT,Our conservation program needs your support.,,,
HELP IS PHYSICAL SUPPORT,I've really been leaning on my friends the past few months.,,,
HEALTH IS VERTICALITY,He's down with the flu.,,,
HEALTH IS UP,He's at the peak of health.,,,
HEALTH IS UP,He's in top shape.,,,
HAPPY IS UP,That boosted my spirits.,,,
HAPPY IS UP,My spirits rose.,,,
HAPPY IS UP,You're in high spirits.,,,
HAPPY IS UP,Thinking about her always gives me a lift.,,,
HAPPINESS IS VERTICALITY,I'm soaring with joy.,,,
HAPPINESS IS VERTICALITY,His spirits fell.,,,
GUNS ARE PESTS,gun-infested state,,,
GUNS ARE OBJECTS OF WORSHIP,altar of gun ownership,,,
GUNS ARE OBJECTS OF WORSHIP,worship guns,,,
GUNS ARE OBJECTS OF WORSHIP,glorify firearms,,,
GUNS ARE DRUGS,"The primary reason Americans are addicted to guns is due to the National Rifle Association's very effective — and immoral — campaign to instill fear into the heart of our citizens, which has paralyzed the soul of America.",,,
GUNS ARE A NATURAL DISASTER,avalanche of guns,,,
GUNS ARE A DISEASE,‘America’s gun disease is a national security issue’,,,
GUN VIOLENCE IS A PHYSICAL AFFLICTION,cancerous gun violence,,,
GUN VIOLENCE IS A PHYSICAL AFFLICTION,plague of gun violence,,,
GUN DEBATE IS A LIVING ENTITY,Cynicism has killed the gun-control debate,,,
GUN CONTROL REGULATION IS A MOTION IMPEDIMENT,saddle the American people with gun control,,,
GUN CONTROL REGULATION IS A MOTION IMPEDIMENT,gun control trap,,,
GUN CONTROL REGULATION IS A DISEASE,gun control sickness,,,
GUN CONTROL IS PHYSICAL RESTRAINT,oppressive shackles of gun control,,,
GUN CONTROL ADVOCACY IS PHYSICAL HARM,the gun lobby has squashed federal funding,,,
GUIDED ACTION IS GUIDED MOTION ALONG A PATH,She guided him through the problem.,,,
GUIDED ACTION IS GUIDED MOTION ALONG A PATH,She walked him through the analysis.,,,
GUIDED ACTION IS GUIDED MOTION ALONG A PATH,She led him through the rough parts of the course.,,,
GROUPS ARE POSSESSORS,The Milky Way belongs to a cluster of galaxies.,,,
GROUPS ARE POSSESSORS,Our galaxy has at least 100 billion planets.,,,
GROUPS ARE PART-WHOLE STRUCTURES,"Earth is part of the group of ""terrestrial"" planets.",,,
GROUPS ARE CONTAINERS,This group contains twenty members.,,,
GROUPS ARE CONTAINERS,There are twenty members in this group.,,,
GREED IS HUNGER,He salivated with the thought of earning more money.,,,
GREED IS HUNGER,The robber baron hungered for even greater profits.,,,
GOVERNMENTAL AGREEMENT IS PHYSICAL PROXIMITY,House Democrats and Republicans moved closer to agreeing on a budget today.,,,
GOVERNMENT'S POSITIVE TREATMENT OF RIGHTS IS SUPPORTING A PHYSICAL STRUCTURE,The government must shore up support for our religious freedoms.,,,
GOVERNMENT'S POSITIVE TREATMENT OF RIGHTS IS STRENGTHENING AN OBJECT,We need to strengthen our civil liberties.,,,
GOVERNMENT'S HARMFUL TREATMENT OF RIGHTS IS TRESPASSING,These gay marriage laws have invaded our religious rights.,,,
GOVERNMENT'S HARMFUL TREATMENT OF RIGHTS IS TRESPASSING,The government needs to stay out of my bedroom.,,,
GOVERNMENT'S HARMFUL TREATMENT OF RIGHTS IS TRAMPLING ON AN OBJECT,The government's move to censor the internet is trampling all over our rights to free speech and freedom of the press.,,,
GOVERNMENT'S HARMFUL TREATMENT OF RIGHTS IS THEFT,Overturning Roe v. Wade would steal away our right to privacy.,,,
GOVERNMENT'S HARMFUL TREATMENT OF RIGHTS IS THEFT,,,,
GOVERNMENT'S HARMFUL TREATMENT OF RIGHTS IS INVADING A TERRITORY,The government overstepped a line when they proposed wiretapping citizens' phone lines.,,,
GOVERNMENT'S HARMFUL TREATMENT OF RIGHTS IS INVADING A TERRITORY,Gay marriage is encroaching on our religious freedoms.,,,
GOVERNMENT'S HARMFUL TREATMENT OF RIGHTS IS DAMAGING A PHYSICAL STRUCTURE,Every new bill the President proposes chips away at our freedoms.,,,
GOVERNMENT'S HARMFUL TREATMENT OF RIGHTS IS DAMAGING A PHYSICAL STRUCTURE,Imposing martial law will undermine the very foundations of democracy.,,,
GOVERNMENT'S HARMFUL TREATMENT OF RIGHTS IS ATTACKING,Gun control is an assault on our civil liberties.,,,
GOVERNMENT REGULATION IS SUFFOCATION,The entrepreneur was suffocated by the all the onerous regulations he had to follow.,,,
GOVERNMENT REGULATION IS SUFFOCATION,Small business in the United States is literally being suffocated by red tape.,,,
GOVERNMENT REGULATION IS A PHYSICAL CONSTRAINT,The restrictive regulations are holding back innovation.,,,
GOVERNMENT REGULATION IS A PHYSICAL CONSTRAINT,Any greater government regulation will only handcuff the industry and reduce the significant benefits hedge funds offer to the markets.,,,
GOVERNMENT REGULATION IS A BURDEN,The burdens of regulation on corporations hold down their profit margins.,,,
GOVERNMENT REGULATION IS A BARRIER,All these rules and regulations are obstacles to innovation.,,,
GOVERNMENT POWER IS BODILY STRENGTH,"Obama, Dems flex muscles on energy policy as platform embraces options",,,
GOVERNMENT POWER IS BODILY STRENGTH,China Using Government Muscle to Turbo Charge its Auto Industry,,,
GOVERNMENT POWER IS BODILY STRENGTH,India government regains its muscle with reforms,,,
GOVERNMENT IS REFEREE,"Government should be a referee, not an active player",,,
GOVERNMENT IS AN ORGANISM,Withered government: leave it to the rich,,,
GOVERNMENT IS AN ORGANISM,"“Government is not a machine, but a living thing. It falls, not under the theory of the universe, but under the theory of organic life. It is accountable to Darwin, not to Newton. It is modified by its environment, necessitated by its tasks, shaped to its functions by the sheer pressure of life. No living thing can have its organs offset against each other, as checks, and live.""",,,
GOVERNMENT IS A SLAVE MASTER,"There can be no doubt that the federal government is the new slave master, something the Founding Fathers warned us against.",,,
GOVERNMENT IS A SHEPHERD,Citizen Sheep Government Shepherds,,,
GOVERNMENT IS A SHEPHERD,"Such a power does not destroy, but it prevents existence; it does not tyrannize, but it compresses, enervates, extinguishes, and stupefies a people, till each nation is reduced to nothing better than a flock of timid and industrious animals, of which the government is the shepherd.",,,
GOVERNMENT IS A SHEPHERD,Obama and the Progressives do not believe this. They believe they must decide what is best. In their view Americans are sheep and they are the shepherd.,,,
GOVERNMENT IS A SERVANT,The government should cater to the needs of its citizens.,,,
GOVERNMENT IS A POLICEMAN,"A proper government is only a policeman, acting as an agent of man’s self-defense, and, as such, may resort to force only against those who start the use of force.",,,
GOVERNMENT IS A PERSON,"The US government loves you. In fact, it loves you so much that it’s willing shackle your legs together. Just to protect you – tough love, baby. Now, it may hurt a bit but just try to breathe through the pain. Remember – it hurts the government more than it hurts you.",,,
GOVERNMENT IS A PATIENT,The government is infected with corruption.,,,
GOVERNMENT IS A PATIENT,We must cure our ailing democracy with an infusion of new politicians.,,,
GOVERNMENT IS A PARENT,Big Father: The Government as Parent,,,
GOVERNMENT IS A PARENT,"Doctrine of Parens Patriae."" Parens Patriae means literally, ""parent of the country."" It refers traditionally to the role of STATE as sovereign and guardian of persons under legal disability.",,,
GOVERNMENT IS A LEADER,"""In my view, the federal government should lead the way.  The bill we’ve introduced requires the federal government to increase its use of renewable electricity and reduce its overall energy consumption in federal buildings, both new and old.  We can’t expect consumers to embrace energy efficient technology if their government does not do the same.""",,,
GOVERNMENT IS A LEADER,Parents are so uneducated about health that they will follow the government down any misguided path.,,,
GOVERNMENT IS A DRIVER,The Syrian government is driving Syria into a dangerous zone.,,,
GOVERNMENT IS A DRIVER,The current Japanese government is steering the country toward Socialism.,,,
GOVERNMENT IS A DRIVER,"Signal left, turn right: central rhetoric and local reform in China.",,,
GOVERNMENT IS A DOCTOR,to promote his fantasy that big government can cure our nation's ills.,,,
GOVERNMENT IS A DISEASE,"Once the stage has been set, radical surgery will be required to actually remove the malignant tumor that Cancerous Government has become.",,,
GOVERNMENT IS A CHILDCARE PROVIDER,I believe in personal responsibility and the government shouldn't be a babysitter but I also believe in compassion for less advantageous people.,,,
GOVERNMENT IS A CHILDCARE PROVIDER,"Can I decide what size soda I want to drink? No, that’s the nanny state’s job.",,,
GOVERNMENT IS A BUSINESS,One of the worst-run businesses in the United States is also the largest business in the nation. The federal government is in financial disarray. It spends more than it makes and its investments are not based on sound financial principles.,,,
GOVERNMENT IS A BUSINESS,,,,
GOVERNMENT INSTITUTION IS A PHYSICAL STRUCTURE,Rising food prices can topple governments,,,
GOVERNMENT INSTITUTION IS A PHYSICAL STRUCTURE,Afghanistan's government could collapse after 2014.,,,
GOVERNMENT INSTITUTION IS A MACHINE,"If the injustice is part of the necessary friction of the machine of government, let it go, let it go: perchance it will wear smooth--certainly the machine will wear out. If the injustice has a spring, or a pulley, or a rope, or a crank, exclusively for itself, then perhaps you may consider whether the remedy will not be worse than the evil; but if it is of such a nature that it requires you to be the agent of injustice to another, then I say, break the law. Let your life be a counter-friction to stop the machine. What I have to do is to see, at any rate, that I do not lend myself to the wrong which I condemn.",,,
GOVERNMENT INSTITUTION IS A MACHINE,"They had elected him (Jackson) to conduct the Government and to keep and remove its moneys, and he meant to do so on the principle that it was a simple machine.",,,
GOVERNMENT INSTITUTION IS A BODY,This responsibility falls squarely on the shoulders of the government.,,,
GOVERNMENT FUNCTIONALITY IS VERTICALITY,The government was toppled.,,,
GOVERNMENT FUNCTIONALITY IS VERTICALITY,The government fell.,,,
GOVERNMENT DEBT IS OCEAN,The western world is drowning in an ocean of debt unlike anything the world has ever seen before,,,
GOVERNMENT ASSISTANCE IS SUPPORT,The poor in our country need a boost up.,,,
GOVERNMENT ASSISTANCE IS SUPPORT,"In times of need, the impoverished should be able to lean on our government for support.",,,
GOVERNMENT ASSISTANCE IS SUPPORT,We need welfare as a safety net.,,,
GOVERNMENT ASSISTANCE IS AN ADDICTIVE DRUG,Our country's poor are addicted to welfare.,,,
GOVERNMENT ASSISTANCE IS AN ADDICTIVE DRUG,We have a nation of welfare addicts who will always depend on the government for their next fix.,,,
GOVERNMENT ASSISTANCE IS A TRAP,...trapping so many people in state dependency robs them of their human dignity.,,,
GOVERNMENT ASSISTANCE IS A TRAP,[T]he federal government's welfare assistance programs intended to help those in need instead effectively trap people into dependence,,,
GOVERNMENT ASSISTANCE IS A HANDOUT,"The poor deserve a hand up, not a handout.",,,
GOVERNMENT ASSISTANCE IS A HANDOUT,"The government shouldn't just give handouts, it needs to encourage people to get jobs instead.",,,
GOVERNMENT AND CITIZENS ARE PARTNERS,"As citizens, we must work together with our government to advance the good of our nation.",,,
GOVERNING ACTION IS MOTION,Congress moved quickly to avoid a governmental shutdown.,,,
GOVERNING ACTION IS MOTION,The state took a big step toward banning assault weapons.,,,
GOVERNING ACTION IS MOTION,The legislature is considering an alternative approach to deficit reduction.,,,
GOVERNING ACTION IS MOTION,Postal Service bill faces roadblocks,,,
GAINING POWER IS GAINING A POSSESSION,The rebels wrested control of the capital city from the ruling party in a bloody coup.,,,
FUTURE OF A NATION IS PATH OF BOAT,Our President will chart a path to prosperity.,,,
FUTURE OF A NATION IS PATH OF BOAT,We will navigate the choppy waters of recession into smooth fiscal sailing.,,,
FUTURE OF A NATION IS PATH OF BOAT,'Pakistan's economy has ability to navigate through choppy waters',,,
FUNCTIONALITY IS VERTICALITY,The servers are back up after having been down for days.,,,
FUNCTIONAL LEGISLATURE IS A FUNCTIONING MACHINE,"With a heavy Republican majority, Congress churned out bill after bill.",,,
FUNCTIONAL LEGISLATURE IS A FUNCTIONING MACHINE,"With a unified House and Senate, the well-oiled gears of government turn smoothly.",,,
FUNCTIONAL LEGISLATURE IS A FUNCTIONING MACHINE,"""I look forward to helping keep the legislative wheels turning smoothly in our 105-day session""",,,
FUNCTIONAL LEGISLATURE IS A FUNCTIONING MACHINE,Cloture would make the legislative gears turn smoothly.,,,
FULLY COMMUNICATING A SEQUENCE OF THOUGHT IS SPELLING,Do I need to spell it out for you?,,,
FULLY COMMUNICATING A SEQUENCE OF THOUGHT IS SPELLING,The theory is spelled out in chapter 4.,,,
FULLY COMMUNICATING A SEQUENCE OF THOUGHT IS SPELLING,Follow the letter of the law.,,,
FREEDOM OF ACTION IS THE LACK OF IMPEDIMENTS TO MOVEMENT,Break out of your daily routine.,,,
FREEDOM OF ACTION IS THE LACK OF IMPEDIMENTS TO MOVEMENT,Workers of the world throw off your chains!,,,
FORMING WORDS IS SHAPING,You should form your words carefully.,,,
FORMING WORDS IS SHAPING,This is a well-crafted sentence.,,,
FORMING WORDS IS SHAPING,Promises should be articulated clearly.,,,
FORCES ARE OBJECTS,A large force is needed to move a heavy object.,,,
FORCE TRANSFER IS OBJECT TRANSFER,She gave him a push.,,,
FORCE TRANSFER IS OBJECT TRANSFER,He gave me a vicious kick.,,,
