Conceptual metaphor,Sentence,Source,Target,Type
FINANCIAL RESOURCES ARE PHYSICAL RESOURCES,"Again, if by any chance, we should ultimately win out in such a war, what would it cost us in treasure and in blood?",,,
EXPLOITATION OF RESOURCES IS A PARASITIC INFECTION,Should Welfare parasites be allowed to bleed working Americans for the rest of their lives without attempting to help themselves?,,,
EXPERIENCING A STATE IS POSSESSING AN OBJECT,I have a headache.,,,
EXPERIENCING A STATE IS BEING AT A LOCATION,I'm in love.,,,
EXPERIENCING A STATE IS BEING AT A LOCATION,She's out of her depression.,,,
EXPERIENCING A STATE IS BEING AT A LOCATION,She's close to insanity.,,,
EXPERIENCING A STATE IS BEING AT A LOCATION,"When at rest, the computer goes into hibernation.",,,
EXPERIENCING A STATE IS BEING AT A LOCATION,He's at an advanced stage in his studies.,,,
EXPERIENCING A STATE IS BEING AT A LOCATION,What state is the project in?,,,
EXPERIENCED STATE IS A PROXIMATE OBJECT,I can feel a headache approaching,,,
EXPERIENCED STATE IS A PROXIMATE OBJECT,My symptoms went away.,,,
EXISTING IS BEING PHYSICALLY AT THIS LOCATION,All the bridges that used to span this river are now gone.,,,
EXISTENCE IS VISIBILITY,The dodo disappeared in the 1600s.,,,
EVIL IS DARK,The Bible clearly teaches that our struggle to live righteously is a struggle against the dark forces of Satan that seeks to rule us.,,,
ESSENTIAL IS INTERNAL,It's what's on the inside that counts.,,,
ESSENTIAL IS INTERNAL,She only has surface charm.,,,
EQUALITY IS BEING ON THE SAME VERTICAL LEVEL,"In economic development, the equivalent of having a level playing field is equality of access to basic services.",,,
ENVIRONMENTAL HARM IS PHYSICAL INJURY,The oil spill has caused a shock to the environment.,,,
ENVIRONMENTAL HARM IS PHYSICAL INJURY,Smog pollution is an environmental malaise.,,,
ENVIRONMENTAL HARM IS PHYSICAL INJURY,Ecologists are nursing the Bay back to health.,,,
ENTITLEMENT HOLDERS ARE LEECHES,The welfare queens will suck this nation's coffers dry.,,,
ENTITLEMENT HOLDERS ARE LEECHES,"The ""takers"" in this society are leeches on the success of job creators.",,,
END OF AN ACTION IS THE END OF A PATH,We are reaching the end of the house-buying process.,,,
END OF AN ACTION IS THE END OF A PATH,"Finally, all my educational goals are in reach.",,,
END OF AN ACTION IS THE END OF A PATH,We are entering the last stages of filing for bankruptcy.,,,
ENACTING LEGISLATION IS CAUSING MOTION ALONG A PATH,"Democrats Push Through Historic, Controversial Health Care Legislation",,,
ENACTING LEGISLATION IS CAUSING MOTION ALONG A PATH,The Senate voted 92-5 Tuesday to move the bill forward to a full vote later this week.,,,
EMOTIONS ARE SUBSTANCES,He's filled with jealousy.,,,
EMOTIONS ARE SUBSTANCES,She's overflowing with love.,,,
EMOTIONS ARE OBJECTS,You have to set your jealousy aside.,,,
EMOTIONS ARE OBJECTS,He hid his love from her.,,,
EMOTIONALLY MILD IS EXPERIENCING MILD TEMPERATURE,She's lukewarm about him.,,,
EMOTIONALLY INTENSE IS HOT,He is a man of fiery passions.,,,
EMOTIONALLY INTENSE IS HOT,The argument really heated up when she accused him of losing the car on purpose.,,,
EMOTIONALLY INDIFFERENT IS COLD,She's so cold towards him.,,,
EMOTIONALLY INDIFFERENT IS COLD,Ice-queen,,,
EMOTIONAL INTIMACY IS PHYSICAL PROXIMITY,They're very close.,,,
EMOTIONAL INTENSITY IS TEMPERATURE,"As the argument continued, things really heated up.",,,
EMOTIONAL INTENSITY IS TEMPERATURE,Their relationship cooled off and they soon parted ways.,,,
EMOTIONAL INTENSITY IS TEMPERATURE,His mother was always cold and unloving when he was a child.,,,
EMOTION IS PRESSURE IN A CONTAINER,He's bursting with excitement.,,,
EMOTION IS PRESSURE IN A CONTAINER,That joke is side-splittingly funny.,,,
ELECTION IS WAR,...the fight for the White House is being waged on intensely local terrain...,,,
ELECTION IS WAR,the war for the presidency is nearly over,,,
ELECTION IS WAR,"Mr. Romney will likely fight hard in the state, given his family ties, but he has an uphill battle.",,,
ELECTION IS WAR,"Both sides girded for battle, as they knew the general election would be a hard-won fight.",,,
ELECTION IS WAR,The underdog and his advisers plotted how best to overpower the incumbent.,,,
ELECTION IS WAR,"Campaign Craft: The Strategies, Tactics, and Art of Political Campaign Management",,,
ELECTION IS A RACE,The GOP presidential race has a new front-runner: Gov. Rick Perry.,,,
ELECTION IS A RACE,"This year's US presidential election is shaping up to be a very close race, with the incumbent currently in front, but his challenger close on his heels.",,,
ELECTION IS A RACE,"At the turn, it's Obama by a nose.",,,
ELECTION IS A RACE,"Noem sprints to election finish line with stop in Elk Point, SD.",,,
ELECTION IS A RACE,"The race continues as Perry and Romney jockey for position, with Gingrich trailing behind.",,,
ELECTION IS A RACE,"With the official start of primary season, candidates were off and running as they sought to quickly raise millions of dollars for ad buys.",,,
ELECTION IS A RACE,The Iowa caucuses in January 2012 serve as the starting line of the marathon primary-election campaigns necessary ...,,,
ELECTION IS A RACE,Hutchinson the front-runner in 2014 governor's race,,,
ELECTION IS A GAME,"Too often it is post mortem head scratching, as if democratic strategists do not realize every candidate is a pawn on the national. chessboard",,,
ELECTION IS A BOXING MATCH,the candidates came out punching,,,
ELECTION IS A BOXING MATCH,"Beasley won the first round of Democratic primary for lieutenant governor in 1970, but failed to win a majority.",,,
EFFICIENT GOVERNMENT IS A LEAN BODY,Randy has a plan to turn a bloated government of Washington bureaucrats into a lean and efficient government,,,
EFFECTIVE GOVERNMENT INSTITUTION IS A WELL-FUNCTIONING MACHINE,"Our state government, a well oiled machine of efficiency.",,,
EFFECTIVE GOVERNMENT INSTITUTION IS A HEALTHY BODY,"Like some it is supposed to serve, Massachusetts government has become flabby.",,,
EDUCATIONAL EVALUATION IS GAMBLING,"Apparently, I’m not the only parent who’s concerned about high stakes testing.",,,
EDUCATION IS A RESOURCE,A good education is a powerful resource.,,,
ECONOMY IS A MACHINE,"With The Economy Humming, Will Manufacturing Software Help Manufacturers Stay In Tune?",,,
ECONOMY IS A MACHINE,"""Although we have a long way to go before we can put this recession behind us, the gears of our economic engine do appear ... to be slowly turning once again,""",,,
ECONOMY IS A COMPLEX STRUCTURE,The economy is falling apart.,,,
ECONOMY IS A BODY,force-feed the economy back to health,,,
EASE OF ACTION IS EASE OF MOTION ALONG A PATH,It is smooth sailing from here on in in the application process.,,,
EASE OF ACTION IS EASE OF MOTION ALONG A PATH,It's all downhill for the rest of the course.,,,
DISTURBING IDEAS ARE DISGUSTING FOODS,The very thought of it makes me sick.,,,
DISTURBING IDEAS ARE DISGUSTING FOODS,That's bullshit!,,,
DISTINGUISHING IS DIVIDING,What separates the men from the boys?,,,
DISEASE TREATMENT IS WAR,The doctors at the CDC led the way to victory against the flu epidemic.,,,
DISEASE TREATMENT IS WAR,"The cancer patient fought a long, hard, battle, but she eventually succumbed to her disease.",,,
DISEASE TREATMENT IS WAR,A Triumph in the War Against Cancer,,,
DISEASE TREATMENT IS WAR,"With nothing left in their leukemia-fighting arsenal, the doctors were down to Dilaudid, a derivative of morphine...",,,
DISAGREEMENT IS DIVISION,Americans are divided as to whether a third major party is needed in U.S. politics today,,,
DIPLOMACY IS WAR,"The Weapons of Diplomacy, and the Human Factor",,,
DIFFICULTY IS HEAVINESS,I have a heavy workload this year.,,,
DIFFICULTY IS HEAVINESS,This situation is hard to bear.,,,
DIFFICULTY IS HARDNESS,This is a very hard problem to solve.,,,
DIFFICULTIES IN PROGRESSING THROUGH LIFE ARE IMPEDIMENTS TO MOTION ALONG A PATH,My life is going nowhere - I'm just spinning my wheels.,,,
DIFFICULTIES IN KNOWING ARE VISUAL OBSTRUCTIONS,Recently enacted policies provide cover for companies engaged in illicit activities.,,,
DIFFICULTIES IN A ROMANTIC RELATIONSHIP ARE IMPEDIMENTS TO MOTION ALONG A PATH,We have a lot of hurdles to get over in our relationship.,,,
DIFFICULTIES ARE IMPEDIMENTS TO MOVEMENT,Our project has hit a roadblock.,,,
DIFFICULTIES ARE IMPEDIMENTS TO MOVEMENT,What's holding you back from pursuing your dreams?,,,
DIFFICULTIES ARE IMPEDIMENTS TO MOVEMENT,They faced some tough problems at the beginning of their marriage but got over them quickly.,,,
DIFFERENT MEANS OF ACHIEVING A PURPOSE ARE DIFFERENT PATHS TO A DESTINATION,"To be cool, you have to wear your overalls this way.",,,
DIFFERENT MEANS OF ACHIEVING A PURPOSE ARE DIFFERENT PATHS TO A DESTINATION,She solved the problem a different way.,,,
DIFFERENT MEANS OF ACHIEVING A PURPOSE ARE DIFFERENT PATHS TO A DESTINATION,Do it any way you can.,,,
DIFFERENT MEANS OF ACHIEVING A PURPOSE ARE DIFFERENT PATHS TO A DESTINATION,However you want to go about repairing it is fine with me.,,,
DEVELOPING AN ATTRIBUTE IS CULTIVATION,Tips on how to cultivate openness to change.,,,
DESIRE IS HUNGER,He's drooling over a new car.,,,
DESIRE IS HUNGER,He hungered for her attention.,,,
DEMOCRATIC IDEOLOGY IS A COMMODITY,democracy for sale,,,
DEMOCRACY IS A PLANT,plant the seeds of democracy,,,
DEMOCRACY IS A PLANT,democracy blossoms,,,
DEMOCRACY IS A BIRD,fledgling democracy,,,
DEMOCRACY IS A BIRD,democracy spreads its wings,,,
DEGREE OF SIMILARITY IS DEGREE OF PROXIMITY,"To us, culture and spirituality are very close concepts.",,,
DEGREE OF MORALITY IS PHYSICAL HEIGHT,He is a person of very high moral standards.,,,
DEGREE IS DISTANCE ALONG A PATH,He is far more intelligent than he looks.,,,
DEBT IS PHYSICAL IMPEDIMENTS TO MOTION,Debt is holding me back from reaching my goals.,,,
DEBT IS AN ORGANISM,Credit card debt has been growing significantly,,,
DEBT IS AN ORGANISM,,,,
DEBATING IS ONE-ON-ONE PHYSICAL FIGHTING,Obama and Romney Strike Blows Over Benghazi,,,
CRITICIZING IS ATTACKING,He attacked the speaker with harsh words of criticism.,,,
CRIME IS AN ANIMAL,Crime is a beast ravaging the city.,,,
CRIME IS A DISEASE,Crime has infected communities everywhere.,,,
CREATING IS MAKING,The solution only created more problems.,,,
CREATING A LAW IS GROWING A PLANT,Out of these discussions will grow legislation of farreaching importance.,,,
CORRUPTION IS EROSION,Corruption is eroding the public trust in government.,,,
CORRUPTION IS DECAY,Stopping the rot in public life.,,,
CORRUPTION IS A TERMITE INFESTATION,"Our nation has been infested with the termites of corruption, the worms of immorality, and a virus of indifference and apathy.",,,
CORRUPTION IS A DISEASE,Our government is afflicted with the cancer of corruption.,,,
CORRUPTION IS A DISEASE,Corrupt officials are infecting our government at every level.,,,
CORRUPTION IS A DESTRUCTIVE NATURAL PROCESS,California Cities Struggling Under Wave of Corruption,,,
CORRUPTION IS A DESTRUCTIVE NATURAL PROCESS,FIFA facing corruption 'tsunami',,,
COOPERATIVE NATIONS ARE GOOD CITIZENS,Rescuing Iranian Sailors? U.S. Says It Is Just Doing Its Duty,,,
CONTROL IS VERTICALITY,Report to your superiors for duty.,,,
CONTROL IS VERTICALITY,He's the low man on the totem pole.,,,
CONTROL IS VERTICALITY,Napoleon's skill at the siege of Toulon while only an artillery captain under General Jacques Dugommier was to start Napoleon on the path of greatness; a rise to power that was to be incredibly rapid.,,,
CONTROL IS VERTICALITY,Relax. We've got everything under control.,,,
CONTROL IS UP,I am on top of the situation.,,,
CONTROL IS UP,He's in a superior position.,,,
CONTROL IS UP,He's in the high command.,,,
CONTROL IS UP,He's in the upper echelon.,,,
CONTROL IS UP,His power rose.,,,
CONTROL IS OBJECT MANIPULATION,He's putty in her hands.,,,
CONTROL IS A POSSESSION,He has control over all the workers.,,,
CONTROL IS A POSSESSION,The president kept his hold on power.,,,
CONTROL IS A POSSESSION,She regained control of the assembly.,,,
CONTROL IS A POSSESSION,He possesses the power to heal small animals.,,,
CONTROL IS A BOUNDED REGION,His actions are beyond my control.,,,
CONTROL IS A BOUNDED REGION,The whole situation spiraled out of (our) control.,,,
CONTROL IS A BOUNDED REGION,He returned to power.,,,
CONTROL IS A BOUNDED REGION,The president is in control of the executive branch.,,,
CONTROL IS A BOUNDED REGION,President Mubarak has stepped down from power.,,,
CONSUMING TOO MANY RESOURCES IS EATING TOO MUCH FOOD,Developing nations are gobbling up our fossil fuels at any alarming rate.,,,
CONSUMING TOO MANY RESOURCES IS EATING TOO MUCH FOOD,The United States' insatiable appetite for electronics will entirely consume our supply of rare metals.,,,
CONSUMING RESOURCES IS EATING,This SUV sure is a gas guzzler.,,,
CONSUMING RESOURCES IS EATING,Demand for paper goods is eating away at our planet's forests.,,,
CONSTITUENTS ARE CONTENTS,There is both cotton and polyester in that shirt.,,,
CONSTITUENTS ARE CONTENTS,This drink is loaded with vitamins.,,,
CONSTITUENTS ARE CONTENTS,Our agenda is packed with events.,,,
CONSTITUENTS ARE CONTENTS,There are seven days in a week.,,,
CONSIDERING THE IMPORTANCE OF RIGHTS IS PLAYING A GAME,“Your dead kids don’t trump my Constitutional rights.”,,,
CONSCIOUSNESS IS VERTICALITY,I'm up!,,,
CONSCIOUS IS UP,Wake up!,,,
COMPULSION IS A COMPELLING FORCE,Vanity finally drove me to have the operation.,,,
COMPETITION IS A RACE,The arms race.,,,
COMPETITION IS A RACE,"We’ve been playing chess for years, and he’s finally pulling ahead of me.",,,
COMPETITION IS A RACE,"He’s a better writer than I am, and he’s widening the distance.",,,
COMPANY IS A COMPLEX STRUCTURE,We have to restructure this firm.,,,
COMMUNICATING IS SHOWING,Let me illustrate the theory with some examples.,,,
COMMUNICATING IS SHOWING,I'm now going to show you that you are wrong.,,,
COMMUNICATING IS POINTING,He pointed out that global warming is real.,,,
COMMUNICATING IS OBJECT TRANSFER,You gave me a great idea!,,,
COMMUNICATING IS OBJECT TRANSFER,Try to pack more thoughts into fewer words.,,,
COMMUNICATING IS OBJECT TRANSFER,Whenever you have a good idea practice capturing it in words.,,,
COMMUNICATING IS OBJECT TRANSFER,Don't force your meanings into the wrong words.,,,
COMMUNICATING IS OBJECT TRANSFER,Try to get your thoughts across better.,,,
COMMUNICATING IS OBJECT TRANSFER,You still have to give me an idea of what you mean.,,,
COMMUNICATING IS GUIDING,This book will guide you step by step how to apply for citizenship.,,,
COMMUNICATING IS FEEDING,I've been feeding him stock market tips for weeks.,,,
COMMUNICATING IS DRAWING A PICTURE,Do I have to draw a picture for you?,,,
COMMUNICATING IS DRAWING A PICTURE,He painted an idyllic picture of their life together.,,,
COGNIZING IS BODILY FUNCTIONING,My mind was racing.,,,
COGNIZING IS BODILY FUNCTIONING,My mind is tired.,,,
CITIZENS ARE SLAVES,This new slavery is a total dependence by individuals and families on government for the materials and funds necessary to maintain a minimum standard of living.,,,
CITIZENS ARE SLAVES,...the people of America’s needs and priorities become second to the needs of the state and the people of America become enslaved to the state.,,,
CITIZENS ARE EYES AND EARS,Snitch Culture: How Citizens are Turned into the Eyes and Ears of the State,,,
CITIZENS ARE EMPLOYERS,Nine reasons why we should fire Congress,,,
CITIZEN RIGHTS ARE TERRITORIES,We need to protect our rights from infringement.,,,
CITIZEN RIGHTS ARE SHIELDS FROM HARM,Do gun rights protect against tyranny?,,,
CITIZEN RIGHTS ARE POSSESSIONS,Don't let anyone take away your right to vote.,,,
CITIZEN RIGHTS ARE PHYSICAL STRUCTURES,One down of the three pillars of “unalienable” rights that hold up this great country of ours.,,,
CITIZEN RIGHTS ARE PHYSICAL STRUCTURES,,,,
CITIZEN RIGHTS ARE PHYSICAL STRUCTURES,"This is an usagainst-them battle, but the “them” are those who would dismantle our rights.",,,
CHANGE OF STATE IS CHANGE OF POSSESSION,I got a headache.,,,
CHANGE OF STATE IS CHANGE OF POSSESSION,My headache went away.,,,
CHANGE OF STATE IS CHANGE OF LOCATION,He went crazy.,,,
CHANGE OF STATE IS CHANGE OF LOCATION,He fell into a depression.,,,
CHANGE OF STATE IS CHANGE OF LOCATION,I came out of my depression.,,,
CHANGE OF STATE IS CHANGE OF LOCATION,He went over the edge.,,,
CHANGE OF STATE IS CHANGE OF LOCATION,Things have gone from bad to worse lately.,,,
CHANGE IS LOSS,My headache went away.,,,
CHANGE IS LOSS,He lost his faith.,,,
CHANGE IS LOSS,He got rid of his headache.,,,
CHANGE IS ACQUISITION,I got a headache.,,,
CHANGE IN CONTROLLER IS TRANSFER OF POSSESSION,The US handed over control of the prisoners to Afghan authorities.,,,
CHANGE IN CONTROLLER IS TRANSFER OF POSSESSION,The Democrats wrested control of four governerships from the Republicans,,,
CHANGE IN CONTROLLER IS TRANSFER OF POSSESSION,The government acquired control of the company's assets.,,,
CERTAIN IS FIRM,The plans for the trip have finally been firmed up.,,,
CERTAIN IS FIRM,Next year's budget is fairly solid at this point.,,,
CENSORSHIP IS PHYSICAL RESTRAINING OF MOUTH,"... allow courts to circumvent the First Amendment, slowly eroding the freedom of the press in a much more subtle manner than if they gagged the media directly.",,,
CENSORSHIP IS PHYSICAL RESTRAINING OF MOUTH,The government should not muzzle the press.,,,
CAUSING ECONOMIC HARDSHIP IS CAUSING PHYSICAL HARM,Another round of cuts will cripple the economy.,,,
CAUSING DECREASE IN CRIME IS TREATING DISEASE,Thriving community centers have proven to be an effective treatment against violent crime in a number of neighborhoods.,,,
CAUSES ARE FORCES,The trial thrust O.J.'s attorney's into the limelight.,,,
CAUSES ARE FORCES,FDR's leadership brought the country out of the depression.,,,
CAUSES ARE FORCES,That experience pushed him over the edge,,,
CAUSED INABILITY TO ACT IS PREVENTION OF MOTION ALONG A PATH,Regulations keep me from moving ahead with this housing project.,,,
CAUSED INABILITY TO ACT IS PREVENTION OF MOTION ALONG A PATH,Sudden illness stopped his progress.,,,
CAUSED INABILITY TO ACT IS PREVENTION OF MOTION ALONG A PATH,He's really gotten hung up at that step in the process.,,,
CAUSED INABILITY TO ACT IS PREVENTION OF MOTION ALONG A PATH,He is so caught up in his work he can't do anything else.,,,
CAUSED INABILITY TO ACT IS PREVENTION OF MOTION ALONG A PATH,He was held up in the meeting.,,,
CAUSED CHANGE OF STATE IS CAUSED CHANGE OF LOCATION,She was forced into an arranged marriage.,,,
CAUSED CHANGE OF STATE IS CAUSED CHANGE OF LOCATION,Her parents kept pushing her until she succeeded.,,,
CAUSATION IS OBJECT TRANSFER,The noise is giving me a headache.,,,
CATEGORIES ARE BOUNDED REGIONS,Tomatoes technically fall within the fruit category.,,,
CATEGORIES ARE BOUNDED REGIONS,"I wouldn't put him in the friend category, exactly.",,,
CAREER IS A COMPLEX STRUCTURE,How to make a career out of things you would do even for free.,,,
CAREER IS A BUILDING,Stars whose careers collapsed in a relatively short amount of time,,,
BUSINESSES ARE LIVING ENTITIES,Here are some tips to grow your business.,,,
BUSINESS COMPETITION IS COMPETITIVE SPORTS,It's Now Apple And Samsung's Game To Lose--Everyone Else Is An Also-Ran,,,
BUREAUCRATS ARE MACHINE PARTS,"You could call me just a work-for-hire hack, and a willing, contented cog in a bureaucratic machine.",,,
BUREAUCRACY IS A MACHINE,"Confronted with the grinding cogs of bureaucracy, but needing a new cap, Coltrane shrugged and filled out the form.",,,
BUREACRACY IS AN OCTOPUS,The creation of this board of unelected bureaucrats is yet another tentacle of the Obama Administration digging its way into the doctors-patient relationship.,,,
BUREACRACY IS A MAZE,Lost in the bureaucratic maze of city's criminal justice system,,,
BODY IS A CONTAINER FOR EMOTIONS,He was filled with anger.,,,
BODY IS A CONTAINER FOR EMOTIONS,She couldn't contain her joy.,,,
BODY IS A CONTAINER FOR EMOTIONS,She was brimming with rage.,,,
BELIEFS ARE POSSESSIONS,Hold on to your beliefs and never let them go.,,,
BEING POISED TO KNOW IS BEING POSITIONED TO SEE WELL,The prescribing physician is in the best position to evaluate a patient's treatment history and options.,,,
BEING IMMORAL IS BEING LOW,I refuse to stoop to that kind of behavior.,,,
BEING GOOD IS BEING UPRIGHT,He is an upstanding citizen.,,,
BEING ALIVE IS BEING PHYSICALLY AT THIS LOCATION,He's no longer with us.,,,
BEING ALIVE IS BEING PHYSICALLY AT THIS LOCATION,He's gone / departed.,,,
BAD IS STINKY,This movie stinks!,,,
ATTRIBUTES OF GOVERNMENT ARE ENTITIES,"In a democratic government, authority is given to it by the people.",,,
ATTRIBUTES ARE POSSESSIONS,She has a sunny disposition.,,,
ATTRIBUTES ARE POSSESSIONS,This place has lost a lot of its charm.,,,
ATTRIBUTES ARE POSSESSIONS,The new mustache gave him an older appearance.,,,
ATTRIBUTES ARE ENTITIES,"If you soak it in water, the wood will lose its rigidity.",,,
ATTAINING CONTROL IS GAINING A POSSESSION,"You could talk about the dealerships, auto dealerships that were closed down when the government got control of a couple of the auto companies, an awful lot of people lost jobs, businesses were closed, and so on.",,,
ATTAINING CONTROL IS GAINING A POSSESSION,"The Shadow Party: How George Soros, Hillary Clinton, and Sixties Radicals Seized Control of the Democratic Party",,,
ASSISTANCE IS SUPPORT,Our conservation program needs your support.,,,
ASSISTANCE IS SUPPORT,I've really been leaning on my friends the past few months.,,,
ASSESSING IS MEASURING,We need to know how big of a problem that is.,,,
ARITHMETIC IS OBJECT CONSTRUCTION,Five is made up of two plus three.,,,
ARITHMETIC IS OBJECT CONSTRUCTION,"If you put 2 and 2 together, you get 4.",,,
ARGUMENT IS WAR,He bombarded them with clever arguments.,,,
ARGUMENT IS WAR,His criticisms were right on target.,,,
ARGUMENT IS PHYSICAL COMBAT,Your claims are indefensible.,,,
ARGUMENT IS PHYSICAL COMBAT,He attacked every weak point in my argument.,,,
ARGUMENT IS PHYSICAL COMBAT,His criticisms were right on target.,,,
ARGUMENT IS PHYSICAL COMBAT,I blew his argument out of the water.,,,
ARGUMENT IS PHYSICAL COMBAT,I've never won an argument with him.,,,
ARGUMENT IS PHYSICAL COMBAT,"You disagree? OK, shoot!",,,
ARGUMENT IS PHYSICAL COMBAT,"If you use that strategy, he'll wipe you out.",,,
ARGUMENT IS PHYSICAL COMBAT,He shot down all of my arguments.,,,
ANGER IS THE HEAT OF FLUID IN A CONTAINER,You make my blood boil.,,,
ANGER IS THE HEAT OF FLUID IN A CONTAINER,I had reached the boiling point.,,,
ANGER IS PRESSURE IN A CONTAINER,He was just about to burst with anger.,,,
ALTERNATIVE LEGISLATION IS ALTERNATIVE PATH,"Fitch said in a report on Dec. 19 that it expected Congress to find a way to pull back from the “fiscal cliff,” but that it would not be “a credible plan to reduce the federal budget deficit and stabilize government debt over the medium term.”",,,
ALLIANCES ARE FRIENDSHIPS,There seems to be growing friendship between Shia Iran and its Sunni-dominated neighbours.,,,
AID TO KNOWING IS A LIGHT SOURCE,Ecologists Shed New Light On Effects of Light Pollution On Wildlife,,,
AGREEMENT IS PHYSICAL PROXIMITY,We're finally on the same page.,,,
AGREEMENT IS PHYSICAL PROXIMITY,Who's with me?,,,
AFFECTION IS WARMTH,She's warming up to her new brother-in-law.,,,
ADVOCATING GUN CONTROL IS ZEALOTRY,"Of course, gun control fanatics pay little attention to facts.",,,
ADDRESSING SOCIAL PROBLEMS IS WAGING WAR,"The most powerful weapon in the war against obesity might be something we all understand: cold, hard cash.",,,
ADDRESSING SOCIAL PROBLEMS IS WAGING WAR,How America's losing the war on poverty,,,
ADDRESSING SOCIAL PROBLEMS IS TREATING AN ILLNESS,Debt Ceiling Deal: Wrong Diagnosis Leads to Wrong Treatment for What Ails the Economy,,,
ADDRESSING POVERTY IS TREATING AN ILLNESS,Improving access to education is the only sure way to cure us of poverty.,,,
ADDRESSING CRIME IS CONTROLLING AN ANIMAL,"Law enforcement officers have often described these arrests as a way of reining in criminals whose other, more serious activities present a danger to the public.",,,
ACTIVITIES ARE JOURNEYS,Do it over.,,,
ACTIVITIES ARE JOURNEYS,"In the course of the investigation, new evidence was found.",,,
ACTIVITIES ARE JOURNEYS,Follow along as I assemble this.,,,
ACTIVITIES ARE JOURNEYS,Follow these steps in assembly.,,,
ACTIVITIES ARE BOUNDED REGIONS IN SPACE,How did Jerry get out of washing the windows?,,,
ACTIVITIES ARE BOUNDED REGIONS IN SPACE,"Outside of washing the windows, what else did you do?",,,
ACTIVITIES ARE BOUNDED REGIONS IN SPACE,I put a lot of energy into washing the windows.,,,
ACTIVITIES ARE BOUNDED REGIONS IN SPACE,I get a lot of satisfaction out of washing windows.,,,
ACTION IS SELF-PROPELLED MOTION ALONG A PATH,He exercised to the point of exhaustion.,,,
ACTION IS SELF-PROPELLED MOTION ALONG A PATH,She squeezed her way to thinner thighs.,,,
ACTION IS SELF-PROPELLED MOTION ALONG A PATH,He drank himself out of the promotion.,,,
ACTION IS SELF-PROPELLED MOTION ALONG A PATH,He went on with what he was doing.,,,
ACTION IS SELF-PROPELLED MOTION ALONG A PATH,She went back to sleep.,,,
ACTION IS SELF-PROPELLED MOTION ALONG A PATH,She successfully navigated her way through the contract negotiations.,,,
ACTION IS MOTION ALONG A PATH,Devastation from the hurricane thrust the nation into recession.,,,
ACTION IS MOTION ALONG A PATH,Congress' refusal to compromise is moving the country toward economic ruin.,,,
ACTION IS MOTION,This computer program turns the power on and off.,,,
ACTION IS BEING IN A LOCATION,The car is in motion.,,,
ACTION IS BEING IN A LOCATION,I'm going to leave.,,,
ACTION IS BEING IN A LOCATION,She's close to resigning.,,,
ACQUIRING IDEAS IS EATING,We pitched them the idea and they ate it right up.,,,
ACQUIRING IDEAS IS EATING,He's been feeding her lies all these years.,,,
ACQUIRING IDEAS IS EATING,This article is hard to digest.,,,
ACHIEVING POWER IS MOVING UPWARDS,"Hitler's rise to power cannot be attributed to one event, but a mixture of factors including events happening outside Germany...",,,
ACHIEVING POWER IS MOVING UPWARDS,Regensburg’s political influence reached its peak when Regensburg was city of the Perpetual Diet or General Assembly of the Imperial Estates of the Holy Roman Empire from 1663 to 1806.,,,
ACHIEVING A PURPOSE IS REACHING A DESTINATION,We've reached the end.,,,
ACHIEVING A PURPOSE IS REACHING A DESTINATION,We are seeing the light at the end of the tunnel.,,,
ACHIEVING A PURPOSE IS REACHING A DESTINATION,We only have  short way to go.,,,
ACHIEVING A PURPOSE IS REACHING A DESTINATION,We're where we wanted to go.,,,
ACHIEVING A PURPOSE IS REACHING A DESTINATION,The goal is a long way off.,,,
ACHIEVING A PURPOSE IS REACHING A DESTINATION,He is just floating around.,,,
ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT,They just handed him the job.,,,
ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT,Seize the opportunity.,,,
ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT,"I kept getting close to a world championship, but it kept escaping me.",,,
ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT,He finally managed to get a smile out of her.,,,
ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT,She landed four huge accounts this year.,,,
ABUSIVE POLITICAL LEADERS ARE PHYSICAL BULLIES,Will House Republicans Get Bullied into a Tax Hike By Obama?,,,
ABUSIVE POLITICAL LEADERS ARE PHYSICAL BULLIES,"On the other hand, it's making him look indecisive, and as Pat said, he's being pushed around by the generals, by the Secretary of State and by others.",,,
ABILITY TO KNOW IS ABILITY TO SEE,The US is blind to the limits of Palestinian politics.,,,
ABILITY TO KNOW IS ABILITY TO SEE,The issue was exposed to the light of day.,,,
ABILITY TO KNOW IS ABILITY TO SEE,The government covered up the high levels of radiation.,,,
ABILITY TO EVALUATE IS ABILITY TO SEE,His judgement is clouded.,,,
